,Date,Region,Product,Category,Units Sold,Unit Price,Total Sales,Profit Margin (%)
0,2024-01-15,North,Tablet,Electronics,32,858.0,26096.32307692308,10.0
5,2024-04-03,South,Laptop,Gadgets,52,670.28,3103.0,8.0
7,2024-03-15,West,Tablet,Gadgets,47,241.65,26096.32307692308,12.0
8,2024-01-09,West,Phone,Gadgets,52,796.0,26096.32307692308,8.0
10,2024-01-26,South,Desktop,Electronics,52,100.76,26096.32307692308,8.0
12,2024-04-06,North,Tablet,Electronics,52,548.0,26096.32307692308,8.0
14,2024-03-03,South,Tablet,Electronics,52,348.6,7352.0,8.0
18,2024-03-03,South,Laptop,Electronics,28,655.07,26096.32307692308,8.0
23,2024-01-20,East,Desktop,Gadgets,52,803.81,26096.32307692308,15.0
25,2024-04-25,South,Tablet,Electronics,52,540.16,26096.32307692308,10.0
26,2024-01-14,East,Monitor,Gadgets,52,867.19,12754.0,12.0
27,2024-04-20,North,Monitor,Electronics,35,906.89,14079.0,8.0
32,2024-04-30,West,Tablet,Electronics,52,682.38,26096.32307692308,8.0
33,2024-02-11,West,Phone,Gadgets,87,273.0,26096.32307692308,8.0
35,2024-03-30,West,Phone,Gadgets,32,771.88,26096.32307692308,12.0
42,2024-02-24,South,Monitor,Gadgets,24,435.27,25846.0,8.0
46,2024-04-13,North,Monitor,Gadgets,52,170.0,1829.0,10.0
48,2024-02-04,East,Monitor,Electronics,52,683.0,23046.0,8.0
50,2024-04-07,South,Tablet,Gadgets,52,911.02,46336.0,15.0
51,2024-02-17,West,Tablet,Gadgets,52,438.45,26096.32307692308,15.0
55,2024-03-28,North,Laptop,Electronics,52,221.71,26096.32307692308,12.0
69,2024-02-12,North,Monitor,Gadgets,52,519.0,31768.0,8.0
70,2024-02-20,North,Laptop,Electronics,52,741.91,26096.32307692308,15.0
71,2024-04-27,East,Laptop,Electronics,52,200.97,26096.32307692308,10.0
73,2024-03-28,South,Phone,Gadgets,19,361.0,26096.32307692308,10.0
75,2024-02-07,North,Desktop,Electronics,52,896.0,49835.0,10.0
76,2024-04-12,East,Laptop,Electronics,52,885.0,26096.32307692308,15.0
78,2024-04-26,East,Monitor,Electronics,52,925.37,26096.32307692308,15.0
79,2024-02-20,North,Desktop,Electronics,51,477.0,26096.32307692308,8.0
82,2024-04-03,South,Phone,Electronics,52,386.04,30143.0,10.0
83,2024-02-17,North,Tablet,Electronics,52,193.0,26096.32307692308,10.0
87,2024-04-10,North,Tablet,Electronics,52,536.0,26096.32307692308,10.0
93,2024-04-08,North,Tablet,Electronics,52,126.77,47052.0,8.0
97,2024-02-09,North,Laptop,Gadgets,77,107.26,26096.32307692308,12.0
98,2024-02-25,South,Laptop,Gadgets,52,672.85,49630.0,10.0
103,2024-02-11,North,Desktop,Electronics,57,746.38,26096.32307692308,8.0
105,2024-03-24,South,Desktop,Gadgets,52,561.13,26096.32307692308,10.0
109,2024-01-12,North,Tablet,Gadgets,52,416.23,26096.32307692308,10.0
111,2024-04-13,South,Tablet,Gadgets,52,554.0,26096.32307692308,10.0
118,2024-02-15,South,Tablet,Gadgets,52,169.0,26096.32307692308,12.0
124,2024-04-01,West,Laptop,Electronics,52,844.45,26096.32307692308,15.0
127,2024-02-05,South,Laptop,Electronics,95,496.71,26096.32307692308,8.0
128,2024-04-27,West,Laptop,Electronics,18,189.0,26096.32307692308,8.0
129,2024-02-07,East,Monitor,Electronics,52,817.81,10101.0,10.0
134,2024-01-06,North,Laptop,Electronics,52,315.98,26096.32307692308,8.0
136,2024-01-19,East,Monitor,Electronics,52,508.16,26096.32307692308,12.0
143,2024-04-16,North,Tablet,Gadgets,52,935.02,28298.0,15.0
144,2024-03-21,North,Tablet,Gadgets,52,333.0,26096.32307692308,15.0
145,2024-03-20,West,Laptop,Electronics,32,212.24,26096.32307692308,10.0
148,2024-02-08,South,Desktop,Electronics,91,600.4,26096.32307692308,8.0
149,2024-03-10,West,Phone,Electronics,99,394.91,17806.0,10.0
154,2024-03-10,North,Phone,Electronics,52,379.24,26096.32307692308,10.0
156,2024-01-13,South,Laptop,Gadgets,42,492.3,26096.32307692308,10.0
164,2024-01-29,North,Monitor,Electronics,52,657.54,26096.32307692308,8.0
166,2024-03-31,North,Laptop,Electronics,52,549.29,26096.32307692308,8.0
172,2024-04-06,West,Laptop,Electronics,52,345.7,35973.0,8.0
175,2024-02-13,East,Monitor,Gadgets,52,571.21,48206.0,10.0
176,2024-03-23,North,Tablet,Electronics,52,240.0,26096.32307692308,10.0
177,2024-02-28,East,Laptop,Gadgets,52,731.61,26096.32307692308,8.0
178,2024-02-05,North,Desktop,Electronics,52,790.55,26096.32307692308,8.0
183,2024-04-02,North,Tablet,Electronics,45,448.0,26096.32307692308,15.0
190,2024-03-29,South,Phone,Electronics,52,852.88,22357.0,12.0
193,2024-03-05,North,Phone,Gadgets,52,818.68,26096.32307692308,15.0
194,2024-01-06,North,Tablet,Electronics,52,870.42,26096.32307692308,8.0
195,2024-03-15,North,Tablet,Electronics,52,702.0,23607.0,10.0
